Author,Degree,Betweenness,Closeness,Eigenvector,Coreness
SalinasC,7,0,0.001468429,4.98E-19,7
SalvadeoC,3,0,0.006052437,4.29E-09,3
SánchezC,11,0,0.006159005,0.008795676,11
SánchezL,8,0,0.006177835,0.033366866,8
SanctisB,3,0,0.006178502,0.038170724,3
SanfeliceD,4,0.000339499,0.001505922,0,3
SaninoG,34,0.004065706,0.006195887,0.541521936,23
SantillánL,4,0,0.006163204,0.012210206,4
SantosF,11,0,0.006182839,0.116503248,11
SantosM,76,0.047668941,0.006206298,0.874361709,17
SantosPMC,4,0,0.006181504,0.047317277,4
SantosR,3,0,0.006146166,0.000690454,3
SantosVF,5,0,0.006167963,0.011570568,5
SantosW,4,0,0.006163646,0.016077986,4
SaubidetA,6,0,0.001505928,0,6
SawyerI,2,0,0.001457726,0,2
SayeghA,5,0,0.006149192,0.001304073,5
SchaefferY,15,0,0.006183396,0.162015644,15
SchrammY,5,0.006683896,0.00602584,8.76E-11,3
SchulzeB,2,0,0.006172729,0.018782613,2
SchwarzN,3,0,0.006168461,0.038446881,3
SculleyM,6,0,0.006154811,0.006598305,6
SecchiE,61,0.046884979,0.006201704,0.606823677,16
SeccoHKC,3,0,0.006178502,0.039301283,3
SecoPonJP,1,0,0.001455604,0,1
SegersM,8,0,0.006150843,0.00443992,8
SeijasVA,2,0,0.006167132,0.015219119,2
SepúlvedaM,6,7.64E-05,0.001472745,0,3
SequeiraM,5,0,0.006173117,0.049237072,5
SerafiniPP,6,0,0.00617295,0.033303507,6
SerranoA,2,0,0.001457726,0,2
ShepherdJG,2,0,0.006172396,0.025746804,2
ShuttJD,5,0,0.006154094,0.002840112,5
SicilianoS,90,0.063833855,0.006207813,1,23
SilvaA,2,0,0.001461982,0,2
SilvaC,4,4.24E-06,0.006174337,0.021153905,3
SilvaE,4,0,0.006177058,0.032687325,4
SilvaF,30,0.010585724,0.006195385,0.333165064,17
SilvaJrJM,14,0,0.006176836,0.052822692,14
SilvaK,3,0,0.006157845,0.008017647,3
SilvaM,3,0,0.006154756,0.004222319,3
SilvaS,2,0,0.001461982,0,2
SilvestroP,4,0,0.006165693,0.009401292,4
SimõesLopesP,47,0.024629735,0.00620204,0.56190669,17
SimonJ,8,0,0.006150843,0.00443992,8
SironiM,17,0.01109739,0.00618373,0.089992602,12
SloweyN,6,0,0.006154811,0.006598305,6
SoaresFilhoA,3,0,0.006174282,0.020416071,3
SoléCavaA,5,0,0.006180559,0.076023841,5
SonninoSorisioL,2,0,0.001457726,0,2
SousaLimaR,5,0.006683896,0.006173061,0.017796593,3
SousaR,3,0,0.006144077,0.000641336,3
SoutoL,17,0.005301244,0.006177169,0.053137272,14
SoutulloA,2,0,0.001457726,0,2
SouzaSM,23,0,0.006193709,0.491123541,23
SouzaSP,7,8.64E-05,0.006181059,0.08646518,5
StolenM,4,0,0.006174837,0.037073989,4
SuardiA,14,0,0.006151504,0.006110121,14
SuarezA,3,0,0.001505909,0,3
SuárezE,4,0,0.006162209,0.006873156,4
SutariaD,9,0,0.00618462,0.10581945,9
SvendsenG,5,0,0.00616979,0.029059939,5
SzephegyiM,6,0,0.006168129,0.016835114,6
SzterenD,2,0,0.001457726,0,2
TaniguchiS,5,0,0.006181727,0.061773652,5
TavaresDC,3,0,0.006178502,0.039301283,3
TavaresM,5,0,0.006183229,0.107750979,5
TaylorCR,2,0,0.006137052,0.000271862,2
TeixeiraRHF,3,0,0.006165361,0.008304866,3
TezanosPintoG,8,0,0.006182728,0.073400243,8
ThoisyB,7,0,0.006178502,0.034157047,7
TobónI,23,0,0.006193709,0.491123541,23
TomasWM,6,0,0.00613141,0.000273704,6
TomsinA,4,0,0.00617828,0.029682514,4
TonelloA,3,0,0.006176114,0.038327697,3
ToroF,11,0,0.006159005,0.008795676,11
TosiC,1,0,0.00613059,0.000225844,1
TribotJ,8,0,0.006150843,0.00443992,8
TrimbleM,1,0,0.006139246,0.000526965,1
TristãoIA,7,0,0.006155197,0.004247076,7
TrujilloF,45,0.036695995,0.006199018,0.371838969,17
TuohyEA,1,0,0.001455604,0,1
UrbánRamírezJ,14,0.041384988,0.006080561,6.19E-08,6
UtrerasV,24,0.012660482,0.006191309,0.183851836,11
ValiatiVH,5,0,0.006170954,0.036264434,5
VanBressemM,26,0.000769898,0.006194882,0.534742168,23
VanDammePA,6,0.004464418,0.00617678,0.021963674,4
vanHeldenA,9,0,0.00618462,0.10581945,9
VanhouckeM,13,0.004274299,0.006178835,0.035023394,8
VanstreelsRET,3,0,0.001459854,0,3
VanWaerebeekK,57,0.026766284,0.006202264,0.775533236,23
VarelaEA,7,0.000127312,0.001505918,1.29E-18,4
VásconezO,3,0,0.006168073,0.021047389,3
VaskeT,3,0,0.001459854,0,3
VázquezJuárezR,6,0,0.00605297,2.50E-09,6
VelascoEscuderoM,2,0,0.006148641,0.000999389,2
VenturottiA,5,0,0.006179669,0.045032271,5
VeraN,5,0,0.006149192,0.001304073,5
VergaraParenteJ,19,0.007133912,0.006177502,0.054028725,14
VermeulenE,31,0.008572155,0.00619639,0.36283826,17
VianaD,2,0,0.006174226,0.019680264,2
ViannaJ,11,0,0.006182839,0.116503248,11
VicenteA,14,4.43E-05,0.006185456,0.203552332,12
VidalMD,4,0,0.006181504,0.047317277,4
ViddiF,25,0.00011012,0.006194826,0.533309809,23
VilchesF,5,0,0.006154756,0.003494959,5
ViolanteT,3,0,0.006148806,0.002042663,3
ViscarraM,3,0,0.001459854,0,3
VisserI,2,0,0.001457726,0,2
VivoM,2,0,0.006134367,0.000396095,2
WallaceRB,3,0,0.001459854,0,3
WalshM,5,0,0.001464129,0,5
WangJ,6,0,0.006182951,0.092715899,6
WangY,9,0,0.00618462,0.10581945,9
WartzokD,1,0,0.006164808,0.010417614,1
WedekinL,16,0.003025265,0.006186068,0.149495293,11
WeiskelH,8,2.75E-05,0.006182283,0.077583125,7
WellsR,4,0,0.006174837,0.037073989,4
WerneckM,5,0,0.001464129,0,5
WetzelD,15,0,0.006183396,0.162015644,15
WhiteheadH,2,0,0.006170012,0.014957339,2
WhittAD,4,0,0.006156852,0.001238733,4
WickertJ,17,0,0.006191197,0.290218579,17
WilliamsM,2,0,0.001474901,0,2
WilliamsonC,5,0,0.006173117,0.049237072,5
WrightAJ,5,0,0.006154094,0.002840112,5
WurdigN,3,0,0.006163148,0.011770186,3
WyssV,14,0,0.006151504,0.006110121,14
YatesO,2,0,0.001457726,0,2
YoungR,3,0,0.006153047,0.002840872,3
ZampirolliE,14,4.43E-05,0.006185456,0.203552332,12
ZanelattoR,12,0,0.006186458,0.203242818,12
ZapataRíosG,4,0,0.006162209,0.006873156,4
ZappesCA,12,0.000130551,0.006183618,0.141575214,8
ZepedaBorjaKM,5,0,0.006154039,0.002868693,5
ZerbiniA,16,0.000286315,0.006186904,0.234207105,12
ZeregaA,7,0,0.001468429,0,7
